,syll,next_syll,size,emp_tp,tp,next_vec,rec,mse,eucl,familiar,pair,n_data,n_model
26,da,pa,15.0,0.1079136690647482,0.08333333333333333,[1 0 0 0 0 0 0 0 0 0 0 0],"[ 1.0754560e-01  1.0698712e-01 -1.8158555e-04 -2.8696097e-04
  7.8349188e-02  1.2926795e-03 -1.2945160e-03  3.7372857e-04
 -1.6584024e-03  5.3554356e-01  1.0615829e-01  5.7934657e-02]",0.0929582466736464,1.0561718421183917,1,da_pa,0,0
27,da,pi,11.0,0.07913669064748201,0.08333333333333333,[0 0 0 0 1 0 0 0 0 0 0 0],"[ 1.0754560e-01  1.0698712e-01 -1.8158555e-04 -2.8696097e-04
  7.8349188e-02  1.2926795e-03 -1.2945160e-03  3.7372857e-04
 -1.6584024e-03  5.3554356e-01  1.0615829e-01  5.7934657e-02]",0.09782431523551825,1.0834628663808552,1,da_pi,0,0
28,da,tu,15.0,0.1079136690647482,0.08333333333333333,[0 0 0 0 0 0 0 0 0 0 1 0],"[ 1.0754560e-01  1.0698712e-01 -1.8158555e-04 -2.8696097e-04
  7.8349188e-02  1.2926795e-03 -1.2945160e-03  3.7372857e-04
 -1.6584024e-03  5.3554356e-01  1.0615829e-01  5.7934657e-02]",0.09318946550836447,1.0574845559630524,1,da_tu,0,0
29,du,ta,66.0,1.0,1.0,[0 0 1 0 0 0 0 0 0 0 0 0],"[ 9.5471740e-05 -2.3974106e-05  9.9996513e-01 -1.2770481e-04
  6.5267086e-06 -2.1360815e-05 -5.0567091e-05 -3.3847988e-05
 -7.5904652e-05  1.5786290e-04 -1.1533499e-04  1.9669533e-06]",6.283649777299542e-09,0.00027459751879358726,1,du_ta,0,0
30,pa,da,65.0,0.4642857142857143,0.5,[0 0 0 1 0 0 0 0 0 0 0 0],"[ 8.9064240e-05 -4.7111884e-05 -2.0179898e-05  4.6437147e-01
 -1.7096102e-04  2.5965273e-05  4.0009618e-06  1.6008317e-04
  8.5765496e-05  1.9985437e-04  5.3554559e-01  6.4313412e-05]",0.04780892610319906,0.7574345603670252,1,pa_da,0,0
31,pa,tu,75.0,0.5357142857142857,0.5,[0 0 0 0 0 0 0 0 0 0 1 0],"[ 8.9064240e-05 -4.7111884e-05 -2.0179898e-05  4.6437147e-01
 -1.7096102e-04  2.5965273e-05  4.0009618e-06  1.6008317e-04
  8.5765496e-05  1.9985437e-04  5.3554559e-01  6.4313412e-05]",0.035946573612773945,0.656779173964345,1,pa_tu,0,0
32,pi,da,75.0,1.0,1.0,[0 0 0 1 0 0 0 0 0 0 0 0],"[ 2.5354326e-05  6.4479187e-05 -2.6550144e-05  9.9995959e-01
  2.6486814e-05  1.4728680e-04 -2.0332634e-05 -9.0360641e-05
 -2.4911016e-05 -2.3607910e-04  2.1463633e-04 -2.1432340e-04]",1.5539085808889685e-08,0.0004318205989837403,1,pi_da,0,0
33,pu,bu,13.0,0.19402985074626866,0.2,[0 0 0 0 0 0 0 0 0 1 0 0],"[ 2.81346083e-01  1.12304464e-04 -4.99397516e-04  6.83208928e-04
  1.79728776e-01 -3.73435020e-03  2.41752714e-03 -8.33012164e-04
  3.39750201e-03  1.94461986e-01  2.08867967e-01  1.32317215e-01]",0.06845966426805912,0.906375182370253,1,pu_bu,0,0
34,pu,du,9.0,0.13432835820895522,0.2,[0 0 0 0 0 0 0 0 0 0 0 1],"[ 2.81346083e-01  1.12304464e-04 -4.99397516e-04  6.83208928e-04
  1.79728776e-01 -3.73435020e-03  2.41752714e-03 -8.33012164e-04
  3.39750201e-03  1.94461986e-01  2.08867967e-01  1.32317215e-01]",0.07881712613777576,0.9725253280266325,1,pu_du,0,0
35,pu,pa,19.0,0.2835820895522388,0.2,[1 0 0 0 0 0 0 0 0 0 0 0],"[ 2.81346083e-01  1.12304464e-04 -4.99397516e-04  6.83208928e-04
  1.79728776e-01 -3.73435020e-03  2.41752714e-03 -8.33012164e-04
  3.39750201e-03  1.94461986e-01  2.08867967e-01  1.32317215e-01]",0.053978981557252594,0.8048277944299831,1,pu_pa,0,0
