,tp,condition,model_num,ae_mse,word,epochs,exp,model_type
2,0.75,part-word,37,16.080181,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,37,67.48245,pi-go-la,1,1,acoustic
0,1.0,word,38,13.977925,pa-bi-ku,1,1,acoustic
1,1.0,word,38,20.862122,ti-bu-do,1,1,acoustic
2,0.75,part-word,38,16.042522,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,38,67.42501,pi-go-la,1,1,acoustic
0,1.0,word,39,13.967453,pa-bi-ku,1,1,acoustic
1,1.0,word,39,20.868889,ti-bu-do,1,1,acoustic
2,0.75,part-word,39,16.050947,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,39,67.42784,pi-go-la,1,1,acoustic
0,1.0,word,40,13.969705,pa-bi-ku,1,1,acoustic
1,1.0,word,40,20.866493,ti-bu-do,1,1,acoustic
2,0.75,part-word,40,16.047989,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,40,67.420166,pi-go-la,1,1,acoustic
0,1.0,word,41,13.987946,pa-bi-ku,1,1,acoustic
1,1.0,word,41,20.876183,ti-bu-do,1,1,acoustic
2,0.75,part-word,41,16.060488,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,41,67.44982,pi-go-la,1,1,acoustic
0,1.0,word,42,13.979624,pa-bi-ku,1,1,acoustic
1,1.0,word,42,20.871096,ti-bu-do,1,1,acoustic
2,0.75,part-word,42,16.056509,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,42,67.44292,pi-go-la,1,1,acoustic
0,1.0,word,43,13.985441,pa-bi-ku,1,1,acoustic
1,1.0,word,43,20.86961,ti-bu-do,1,1,acoustic
2,0.75,part-word,43,16.056597,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,43,67.454865,pi-go-la,1,1,acoustic
0,1.0,word,44,13.959933,pa-bi-ku,1,1,acoustic
1,1.0,word,44,20.8722,ti-bu-do,1,1,acoustic
2,0.75,part-word,44,16.05235,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,44,67.43721,pi-go-la,1,1,acoustic
0,1.0,word,45,13.961795,pa-bi-ku,1,1,acoustic
1,1.0,word,45,20.853691,ti-bu-do,1,1,acoustic
2,0.75,part-word,45,16.040794,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,45,67.40626,pi-go-la,1,1,acoustic
0,1.0,word,46,13.991827,pa-bi-ku,1,1,acoustic
1,1.0,word,46,20.89636,ti-bu-do,1,1,acoustic
2,0.75,part-word,46,16.077389,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,46,67.48869,pi-go-la,1,1,acoustic
0,1.0,word,47,13.979197,pa-bi-ku,1,1,acoustic
1,1.0,word,47,20.86911,ti-bu-do,1,1,acoustic
2,0.75,part-word,47,16.059782,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,47,67.4471,pi-go-la,1,1,acoustic
0,1.0,word,48,13.977415,pa-bi-ku,1,1,acoustic
1,1.0,word,48,20.869083,ti-bu-do,1,1,acoustic
2,0.75,part-word,48,16.055187,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,48,67.43883,pi-go-la,1,1,acoustic
0,1.0,word,49,13.983552,pa-bi-ku,1,1,acoustic
1,1.0,word,49,20.874523,ti-bu-do,1,1,acoustic
2,0.75,part-word,49,16.058483,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,49,67.45355,pi-go-la,1,1,acoustic
0,1.0,word,0,13.95305,pa-bi-ku,2,1,acoustic
1,1.0,word,0,20.824226,ti-bu-do,2,1,acoustic
2,0.75,part-word,0,16.015474,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,0,67.36051,pi-go-la,2,1,acoustic
0,1.0,word,1,13.943205,pa-bi-ku,2,1,acoustic
1,1.0,word,1,20.818207,ti-bu-do,2,1,acoustic
2,0.75,part-word,1,16.00877,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,1,67.34994,pi-go-la,2,1,acoustic
0,1.0,word,2,13.9513,pa-bi-ku,2,1,acoustic
1,1.0,word,2,20.80695,ti-bu-do,2,1,acoustic
2,0.75,part-word,2,15.997387,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,2,67.3371,pi-go-la,2,1,acoustic
0,1.0,word,3,13.959556,pa-bi-ku,2,1,acoustic
1,1.0,word,3,20.846321,ti-bu-do,2,1,acoustic
2,0.75,part-word,3,16.02874,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,3,67.392685,pi-go-la,2,1,acoustic
0,1.0,word,4,13.949947,pa-bi-ku,2,1,acoustic
1,1.0,word,4,20.821442,ti-bu-do,2,1,acoustic
2,0.75,part-word,4,16.01181,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,4,67.35388,pi-go-la,2,1,acoustic
0,1.0,word,5,13.952948,pa-bi-ku,2,1,acoustic
1,1.0,word,5,20.830133,ti-bu-do,2,1,acoustic
2,0.75,part-word,5,16.022354,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,5,67.360275,pi-go-la,2,1,acoustic
0,1.0,word,6,13.959008,pa-bi-ku,2,1,acoustic
1,1.0,word,6,20.830494,ti-bu-do,2,1,acoustic
2,0.75,part-word,6,16.018372,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,6,67.36369,pi-go-la,2,1,acoustic
0,1.0,word,7,13.956673,pa-bi-ku,2,1,acoustic
1,1.0,word,7,20.820986,ti-bu-do,2,1,acoustic
2,0.75,part-word,7,16.015474,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,7,67.360725,pi-go-la,2,1,acoustic
