,tp,condition,model_num,ae_mse,word,epochs,exp,model_type
2,0.75,part-word,46,0.14584418,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,46,0.13615103,pi-go-la,1,1,phon
0,1.0,word,47,0.13409382,pa-bi-ku,1,1,phon
1,1.0,word,47,0.15008697,ti-bu-do,1,1,phon
2,0.75,part-word,47,0.1409697,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,47,0.13219458,pi-go-la,1,1,phon
0,1.0,word,48,0.12928638,pa-bi-ku,1,1,phon
1,1.0,word,48,0.14627177,ti-bu-do,1,1,phon
2,0.75,part-word,48,0.13872436,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,48,0.12957577,pi-go-la,1,1,phon
0,1.0,word,49,0.12862276,pa-bi-ku,1,1,phon
1,1.0,word,49,0.14803961,ti-bu-do,1,1,phon
2,0.75,part-word,49,0.14093085,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,49,0.1299247,pi-go-la,1,1,phon
0,1.0,word,0,0.12987685,pa-bi-ku,2,1,phon
1,1.0,word,0,0.14799722,ti-bu-do,2,1,phon
2,0.75,part-word,0,0.1416195,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,0,0.13175584,pi-go-la,2,1,phon
0,1.0,word,1,0.12945294,pa-bi-ku,2,1,phon
1,1.0,word,1,0.1462819,ti-bu-do,2,1,phon
2,0.75,part-word,1,0.13685232,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,1,0.12790143,pi-go-la,2,1,phon
0,1.0,word,2,0.12682302,pa-bi-ku,2,1,phon
1,1.0,word,2,0.14549804,ti-bu-do,2,1,phon
2,0.75,part-word,2,0.14155,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,2,0.12981336,pi-go-la,2,1,phon
0,1.0,word,3,0.122671366,pa-bi-ku,2,1,phon
1,1.0,word,3,0.14179604,ti-bu-do,2,1,phon
2,0.75,part-word,3,0.13416763,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,3,0.123149544,pi-go-la,2,1,phon
0,1.0,word,4,0.12250269,pa-bi-ku,2,1,phon
1,1.0,word,4,0.13954206,ti-bu-do,2,1,phon
2,0.75,part-word,4,0.13129842,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,4,0.1232948,pi-go-la,2,1,phon
0,1.0,word,5,0.12363005,pa-bi-ku,2,1,phon
1,1.0,word,5,0.13949865,ti-bu-do,2,1,phon
2,0.75,part-word,5,0.13201806,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,5,0.122159,pi-go-la,2,1,phon
0,1.0,word,6,0.12439188,pa-bi-ku,2,1,phon
1,1.0,word,6,0.14332707,ti-bu-do,2,1,phon
2,0.75,part-word,6,0.13748081,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,6,0.12591338,pi-go-la,2,1,phon
0,1.0,word,7,0.12790504,pa-bi-ku,2,1,phon
1,1.0,word,7,0.14317538,ti-bu-do,2,1,phon
2,0.75,part-word,7,0.1362121,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,7,0.12744038,pi-go-la,2,1,phon
0,1.0,word,8,0.12765893,pa-bi-ku,2,1,phon
1,1.0,word,8,0.14667289,ti-bu-do,2,1,phon
2,0.75,part-word,8,0.13569579,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,8,0.12837195,pi-go-la,2,1,phon
0,1.0,word,9,0.12268594,pa-bi-ku,2,1,phon
1,1.0,word,9,0.1442194,ti-bu-do,2,1,phon
2,0.75,part-word,9,0.13676849,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,9,0.12704542,pi-go-la,2,1,phon
